trade_date,open,high,low,close,vol,amount,pct_change,ma_bfq_5,ma_bfq_20,ma_bfq_60,ema_bfq_10,ema_bfq_60,macd_dif_bfq,macd_dea_bfq,macd_bfq,dmi_adx_bfq,dmi_pdi_bfq,dmi_mdi_bfq,roc_bfq,mtm_bfq,updays,downdays,atr_bfq,boll_upper_bfq,boll_lower_bfq,rsi_bfq_12,cci_bfq,wr_bfq,kdj_k_bfq,kdj_d_bfq,obv_bfq,mfi_bfq
2022-12-23,3811.6164,3848.3436,3805.9487,3828.2188,65278148.0,130559415.57,-0.2036,3843.40464,3900.43028,3799.73038,3875.70861,3871.39683,10.217,29.163,-37.89,26.27425,17.41232,22.49444,-3.28973,-130.2221,0.0,1.0,57.61757,4034.38,3766.481,42.071,-127.49834,87.452,18.14577,28.7628,4660597.25797,49.42185
2022-12-26,3830.5682,3856.8066,3827.5186,3843.4887,73005712.0,148692832.42,0.3989,3833.45824,3905.94259,3799.8439,3869.85045,3870.48181,6.61,24.652,-36.084,18.47278,13.36228,23.74916,-2.9221,-115.6911,1.0,0.0,53.89968,4019.429,3792.457,45.07,-88.13277,77.493,19.59966,25.70842,4667897.82917,46.34208
2022-12-27,3860.9054,3891.8497,3856.58,3887.854,77515350.0,152032206.63,1.1543,3845.22558,3907.91417,3799.76989,3873.12382,3871.05139,7.248,21.171,-27.847,14.69648,17.25796,24.00671,-2.76097,-110.3902,2.0,0.0,50.24114,4018.672,3797.157,52.811,-34.91943,50.893,30.06426,27.16037,4675649.36417,43.59743
2022-12-28,3874.9132,3884.7205,3854.9406,3871.2644,84424656.0,160671122.03,-0.4267,3853.37078,3908.82557,3800.47913,3872.78574,3871.05837,6.342,18.205,-23.727,15.20177,17.18604,23.71543,-2.07867,-82.1789,0.0,1.0,50.19521,4018.051,3799.6,49.94,-38.59018,59.335,33.59782,29.30618,4667206.89857,44.70471
2022-12-29,3854.2363,3868.2933,3838.4803,3856.7007,79394815.0,149011372.44,-0.3762,3857.50532,3906.92217,3800.97175,3869.86119,3870.58763,4.397,15.444,-22.093,19.7835,12.81869,27.33331,-2.25514,-88.9806,0.0,2.0,47.25802,4018.366,3795.479,47.469,-51.27767,68.402,32.93112,30.5145,4659267.41707,34.75531
2022-12-30,3873.9358,3887.5527,3868.7569,3871.6338,78773272.0,148295049.38,0.3872,3866.18832,3906.95647,3802.08423,3870.18348,3870.62193,4.015,13.158,-18.285,22.60846,16.34079,28.0996,-2.10504,-83.2519,1.0,0.0,47.18911,4018.356,3795.557,50.224,-13.91119,59.105,47.44276,36.15725,4667144.74427,42.88356
2023-01-03,3864.8356,3893.9904,3831.245,3887.8992,115051875.0,207540165.95,0.4201,3875.07042,3904.00763,3804.86694,3873.40452,3871.1884,4.968,11.52,-13.104,26.01425,15.37315,30.6334,-1.6217,-64.0893,2.0,0.0,46.49997,4014.139,3793.876,53.144,-14.99389,6.919,62.65566,44.99005,4678649.93177,42.45349
2023-01-04,3886.2504,3905.9032,3873.6549,3892.9477,110660743.0,198997711.69,0.1299,3876.08916,3900.24512,3807.62129,3876.95783,3871.90182,6.06,10.428,-8.736,26.61486,16.04181,30.85857,-1.54972,-61.2793,3.0,0.0,44.81719,4006.418,3794.072,54.057,36.96508,12.961,70.78331,53.58781,4689716.00607,42.95775
2023-01-05,3913.4928,3974.875,3912.26,3968.5782,116502395.0,256312608.29,1.9428,3895.55192,3900.75199,3810.69249,3893.61608,3875.07153,12.88,10.918,3.923,24.67224,25.02601,27.49399,1.93561,75.3575,4.0,0.0,46.14339,4008.122,3793.382,65.15,171.63901,3.728,79.27969,62.15177,4701366.24557,51.60175
2023-01-06,3969.5493,4000.4143,3966.4696,3980.8888,110953038.0,235744305.58,0.3102,3920.38954,3901.83744,3814.49608,3909.48385,3878.54095,19.059,12.546,13.024,22.38119,28.61764,27.37606,3.96633,151.8715,5.0,0.0,46.33082,4011.952,3791.723,66.583,213.116,10.041,82.42205,68.90853,4712461.54937,52.33942
